title,total_views,total_answers
Converting an object to a string,1462337,33
"Is there a ""not equal"" operator in Python?",1455452,8
How do you append to a file in Python?,1454427,10
Differences between HashMap and Hashtable?,1454338,34
How to open a Bootstrap modal window using jQuery?,1454183,12
Why does comparing strings using either '==' or 'is' sometimes produce a different result?,1453803,14
How to allow only numeric (0-9) in HTML  inputbox using jQuery?,1453373,64
Replacements for switch statement in Python?,1451340,44
How to vertically align an image inside a div,1447990,35
How to apply a CSS filter to a background image,1446829,15
Validate decimal numbers in JavaScript - IsNumeric(),1444373,48
What is the best IDE for PHP?,1441300,40
How do I grep recursively?,1440925,23
jQuery disable/enable submit button,1436881,20
How do I convert a string to a number in PHP?,1436064,25
How to send a header using a HTTP request through a curl call?,1432701,9
What and where are the stack and heap?,1427225,25
NOW() function in PHP,1426965,16
LEFT JOIN vs. LEFT OUTER JOIN in SQL Server,1426293,12
Encode URL in JavaScript?,1423699,14
How can I count the occurrences of a list item?,1422685,22
How to permanently set $PATH on Linux/Unix?,1421232,22
How do you read from stdin?,1421193,21
What is the best way to iterate over a dictionary?,1419658,27
Where can I find documentation on formatting a date in JavaScript?,1419255,35
Way to create multiline comments in Python?,1419051,19
What is the best way to detect a mobile device?,1411447,51
JQuery - $ is not defined,1411361,31
Python add new item to dictionary,1410006,3
How to get a list of user accounts using the command line in MySQL?,1409499,15
Failed to load the JNI shared Library (JDK),1408709,38
How to replace innerHTML of a div using jQuery?,1407540,12
"Hide scroll bar, but while still being able to scroll",1407536,30
Adding values to a C# array,1406708,18
Create ArrayList from array,1405290,34
Close/hide the Android Soft Keyboard,1404007,94
Adding directory to PATH Environment Variable in Windows,1402161,17
How to check if an object is an array?,1397170,46
How to clone or copy a list?,1395762,14
&& (AND) and || (OR) in IF statements,1393918,9
"Get the size of the screen, current web page and browser window",1393006,16
How to download Xcode DMG or XIP file?,1392091,1
How to make HTTP POST web request,1388608,10
"How can I SELECT rows with MAX(Column value), DISTINCT by another column in SQL?",1388560,17
Why is processing a sorted array faster than processing an unsorted array?,1388380,22
Comparing two branches in Git?,1387247,1
How to convert DateTime to VarChar,1386660,22
Resize image proportionally with CSS?,1386017,18
How to check if the string is empty?,1383577,23
What is the best (and safest) way to merge a Git branch into master?,1381478,8
How does Access-Control-Allow-Origin header work?,1380574,13
Delete an element from a dictionary,1379467,15
Delete column from pandas DataFrame,1378987,13
How to vertically center a div for all browsers?,1376960,44
Extract filename and extension in Bash,1375994,37
jQuery UI DatePicker - Change Date Format,1375850,27
Vertically align text within a div,1375607,10
"How do I completely uninstall Node.js, and reinstall from beginning (Mac OS X)",1375421,22
Looping through the content of a file in Bash,1374886,12
vertical-align with Bootstrap 3,1374152,23
Squash my last X commits together using Git,1371886,31
Remove element by id,1368108,16
How can I do a line break (line continuation) in Python?,1368038,8
How do JavaScript closures work?,1367745,86
"How do I resolve ""Cannot find module"" error using Node.js?",1366398,26
"jQuery Ajax error handling, show custom exception messages",1363195,20
How do I check what version of Python is running my script?,1362567,18
How do I get the row count of a pandas DataFrame?,1361837,10
"Difference between del, remove and pop on lists",1360473,10
How to initialize an array in Java?,1357467,10
How do I redirect with JavaScript?,1357252,6
Get int value from enum in C#,1355878,27
Save plot to image file instead of displaying it using Matplotlib,1351828,19
Error: Could not find or load main class,1351560,38
Changing the image source using jQuery,1351308,14
How can I update NodeJS and NPM to the next versions?,1351183,43
How to delete a character from a string using Python,1350935,15
JavaScript check if variable exists (is defined/initialized),1349499,24
NOT IN vs NOT EXISTS,1349441,10
How to change the href for a hyperlink using jQuery,1349303,11
JavaScript post request like a form submit,1348680,29
Writing files in Node.js,1347479,17
null object in Python?,1346384,5
Writing a list to a file with Python,1345120,17
How to select a radio button by default?,1340858,5
How do I revert all local changes in Git managed project to previous state?,1339085,12
How do I make a placeholder for a 'select' box?,1338017,28
How can I select an element by name with jQuery?,1335974,14
How can I convert String to Int?,1334871,27
Adding a favicon to a static HTML page,1334803,17
How to get the data-id attribute?,1333866,12
Open link in new tab or window,1332606,4
How to change the URI (URL) for a remote Git repository?,1331669,15
Altering a column: null to not null,1330982,13
How to comment out a block of code in Python,1328744,19
Terminating a Python script,1328291,9
Remove rows with all or some NAs (missing values) in data.frame,1324703,16
How to generate a random alpha-numeric string?,1324373,40
How to check if a String is numeric in Java,1323443,39
jQuery Get Selected Option From Dropdown,1323051,28
JavaScript function in href vs. onclick,1323040,15
How to list all the files in a commit?,1321440,28
'IF' in 'SELECT' statement - choose output value based on column values,1321345,8
How to create a self-signed certificate with OpenSSL,1321296,14
JavaScript that executes after page load,1320966,22
Recommended way to embed PDF in HTML?,1320690,20
How can I reverse a list in Python?,1319311,31
"XAMPP, Apache - Error: Apache shutdown unexpectedly",1319213,45
Deleting array elements in JavaScript - delete vs splice,1319065,24
How to add a browser tab icon (favicon) for a website?,1317922,10
"Sort a Map<Key, Value> by values",1317073,51
Trigger a button click with JavaScript on the Enter key in a text box,1317018,26
MySQL error code: 1175 during UPDATE in MySQL Workbench,1313042,17
ERROR 2002 (HY000): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2),1311135,70
How do I parse command line arguments in Bash?,1308348,31
Transitions on the display: property,1306696,31
Creating multiline strings in JavaScript,1305799,37
Include another HTML file in a HTML file,1305010,32
How to make div not larger than its contents?,1303255,37
Removing duplicates in lists,1299210,45
How do I display an alert dialog on Android?,1298240,33
Bootstrap - Text-align class for inside a table,1297856,18
jQuery Ajax POST example with PHP,1293318,13
How to import other Python files?,1293296,19
"C# DateTime to ""YYYYMMDDHHMMSS"" format",1292890,15
Download a specific tag with Git,1292364,14
How do I create a Java string from the contents of a file?,1291935,33
Get current time and date on Android,1290543,38
Convert a string to an integer?,1289031,26
"How to fix ""Headers already sent"" error in PHP",1288777,11
Get unique values from a list in python,1288460,31
How do I return the response from an asynchronous call?,1287596,35
"Why am I getting ""Cannot Connect to Server - A network-related or instance-specific error""?",1286300,35
YYYY-MM-DD format date in shell script,1285665,13
"HTML 5: Is it <br>, <br/>, or <br />?",1285571,24
How do I write JSON data to a file?,1285418,13
"How do I get current datetime on the Windows command line, in a suitable format for using in a filename?",1284844,27
"What's the difference between INNER JOIN, LEFT JOIN, RIGHT JOIN and FULL JOIN?",1283967,3
Find (and kill) process locking port 3000 on Mac,1282213,31
Sort array of objects by string property value,1281340,41
"Python error ""ImportError: No module named""",1281291,26
How do I limit the number of rows returned by an Oracle query after ordering?,1280447,16
Fatal Error: Allowed Memory Size of 134217728 Bytes Exhausted (CodeIgniter + XML-RPC),1280013,27
How can I upload files asynchronously?,1277762,33
IndentationError: unindent does not match any outer indentation level,1276514,32
Check if a temporary table exists and delete if it exists before creating a temporary table,1276348,13
jQuery Ajax File Upload,1276191,23
How to get a list of all valid IP addresses in a local network?,1272448,3
How to randomly select an item from a list?,1272397,13
jQuery checkbox change and click event,1271913,17
Get the first element of an array,1271244,37
Get the last item in an array,1270703,44
jQuery.click() vs onClick,1269606,16
Drop data frame columns by name,1268969,19
Generate random number between two numbers in JavaScript,1260961,18
"Match the path of a URL, minus the filename extension",1259715,11
Convert int to string?,1259477,11
"How do I specify new lines on Python, when writing on files?",1256259,9
Change date format in a Java string,1254559,18
How to get the current branch name in Git?,1254468,37
Make an existing Git branch track a remote branch?,1254403,20
Kill detached screen session,1249950,11
How to insert spaces/tabs in text using HTML/CSS,1249537,17
Find object by id in an array of JavaScript objects,1248619,32
How to check a radio button with jQuery?,1248475,30
What is the difference between UNION and UNION ALL?,1245288,24
How do I format XML in Notepad++?,1243608,19
Can't connect to local MySQL server through socket '/var/mysql/mysql.sock' (38),1241025,38
Convert String to double in Java,1240607,13
How do I modify the URL without reloading the page?,1239693,18
Get class name using jQuery,1239229,17
"How to add to the PYTHONPATH in Windows, so it finds my modules/packages?",1238868,20
How to convert jsonString to JSONObject in Java,1237013,17
Change the selected value of a drop-down list with jQuery,1234293,16
How do I check in JavaScript if a value exists at a certain array index?,1233786,17
How to disable resizable property of textarea?,1233593,18
How to print a date in a regular format?,1230199,22
How do I find the length of an array?,1229582,25
How to initialize List<String> object in Java?,1228237,12
Check if element exists in jQuery,1227841,8
Remove duplicate values from JS array,1227516,54
How to get the current date and time in the terminal and set a custom command in terminal for it?,1227098,2
"Retrieve the position (X,Y) of an HTML element",1225530,26
Cast int to enum in C#,1225476,26
How do I get started with Node.js,1224810,5
Using boolean values in C,1223855,15
How do I register a DLL file on Windows 7 64-bit?,1222909,15
Convert a Unix timestamp to time in JavaScript,1222610,26
List all environment variables from command line?,1221592,9
Converting a String to DateTime,1218906,14
Python join: why is it string.join(list) instead of list.join(string)?,1218740,9
"What is a NullReferenceException, and how do I fix it?",1218591,31
Set the value of an input field,1217398,12
What is the difference between an interface and abstract class?,1217167,34
window.location.href and window.open () methods in JavaScript,1216193,6
How do I run a Java program from the command line on Windows?,1215569,12
Pure JavaScript equivalent of jQuery's $.ready() - how to call a function when the page/DOM is ready for it,1215326,10
"In Java, how do I check if a string contains a substring (ignoring case)?",1213893,6
Search text in stored procedure in SQL Server,1213455,22
How to Vertical align elements in a div?,1211962,28
"What does ""Object reference not set to an instance of an object"" mean?",1210758,14
How to remove a key from a Python dictionary?,1208892,10
Safely turning a JSON string into an object,1208506,25
Reverse a string in Python,1207793,25
Fix a Git detached head?,1205316,16
How do I check if a string is a number (float)?,1202571,31
How can I convert a std::string to int?,1201745,15
How to Delete using INNER JOIN with SQL Server?,1200258,15
Change data type of columns in Pandas,1199574,7
SQL Inner-join with 3 tables?,1198131,12
Getting the Current Working Directory in Java,1196625,20
How do I install a Python package with a .whl file?,1196059,15
Read file line by line using ifstream in C++,1194647,8
How to get the ASCII value of a character?,1194084,4
What characters can be used for up/down triangle (arrow without stem) for display in HTML?,1191530,16
Best C++ IDE or Editor for Windows,1191086,44
Converting array to list in Java,1190119,17
"What does the C++ standard state the size of int, long type to be?",1190036,24
How to install the JDK on Ubuntu Linux,1189531,30
Changing column names of a data frame,1189469,16
Remove specific characters from a string in Python,1189387,27
How to count lines in a document?,1188881,20
How to trim whitespace from a Bash variable?,1188499,42
How can I create an executable JAR with dependencies using Maven?,1188431,34
Java int to String - Integer.toString(i) vs new Integer(i).toString(),1185916,11
Getting the ID of the element that fired an event,1185332,21
"How to deal with ""java.lang.OutOfMemoryError: Java heap space"" error?",1183756,18
"What is the difference between ""px"", ""dip"", ""dp"" and ""sp""?",1182775,35
How do I pass a variable by reference?,1181569,26
How to download a file from server using SSH?,1180565,4
How to enable mod_rewrite for Apache 2.2,1180275,15
"Can't execute jar- file: ""no main manifest attribute""",1177445,35
Center image using text-align center?,1177300,23
How to change css display none or block property using Jquery?,1176315,11
Set a default parameter value for a JavaScript function,1175799,24
How to use SSH to run a shell script on a remote machine?,1175142,15
Get size of all tables in database,1174514,22
Plot two graphs in same plot in R,1174114,16
Vertically align text next to an image?,1173375,20
How do you set a default value for a MySQL Datetime column?,1173277,24
How can I merge properties of two JavaScript objects dynamically?,1172379,60
Group by in LINQ,1172094,9
Avoiding != null statements,1171022,63
Iterate through object properties,1169940,26
Check if a variable is a string in JavaScript,1167645,21
Get key by value in dictionary,1167191,33
How do I turn a C# object into a JSON string in .NET?,1166490,15
How do you assert that a certain exception is thrown in JUnit 4 tests?,1165106,33
Installing specific package versions with pip,1160578,9
How can I remove duplicate rows?,1160483,37
Git refusing to merge unrelated histories on rebase,1157269,12
How do I center text horizontally and vertically in a TextView?,1157067,64
What is the maximum length of a URL in different browsers?,1157018,16
Sleep for milliseconds,1154615,15
How do I quickly rename a MySQL database (change schema name)?,1152236,47
What does <![CDATA[]]> in XML mean?,1151241,12
How to install pip with Python 3?,1150163,21
How to sort a dataframe by multiple column(s),1149816,19
How do I connect to a MySQL Database in Python?,1148476,22
Emulate a do-while loop in Python?,1148218,13
What do &lt; and &gt; stand for?,1147496,9
How do I properly force a Git push?,1146792,8
"ssh ""permissions are too open"" error",1146279,18
How to reset AUTO_INCREMENT in MySQL?,1145404,24
Generate random string/characters in JavaScript,1145337,65
How to Sort a List<T> by a property in the object,1143624,19
How to read a large text file line by line using Java?,1143458,21
How to fetch all Git branches,1142934,28
How to directly initialize a HashMap (in a literal way)?,1141894,6
How do you clear the SQL Server transaction log?,1141236,21
How do I get a consistent byte representation of strings in C# without manually specifying an encoding?,1137883,38
How to measure actual memory usage of an application or process?,1137433,31
How do I set/unset a cookie with jQuery?,1136009,13
Generating random whole numbers in JavaScript in a specific range?,1134880,29
Convert INT to VARCHAR SQL,1134558,3
Writing a pandas DataFrame to CSV file,1134557,9
How to disable a link using only CSS?,1133055,20
How to check if a variable is set in Bash?,1132856,32
Get all unique values in a JavaScript array (remove duplicates),1130956,73
PHP random string generator,1130590,53
